zero,Coffeemaker,Blender,Microwave,Toaster,Washing,Iron,Dishwasher,Electricboiler,Dryer,TV,Computer,Heater,AC
,10,9,20,8,47,19,21,1,31,19,67,19,32
,10,26,11,4,58,47,5,10,21,61,65,63,22
,24,16,10,13,29,26,5,10,56,83,14,70,19
,7,20,24,16,40,54,3,19,16,74,85,8,60
,19,20,24,1,19,102,23,3,44,3,44,36,31
,15,3,4,13,60,4,9,12,45,18,47,17,85
,22,23,11,13,23,20,16,2,52,32,59,77,13
,11,20,2,15,56,144,2,23,49,3,66,44,80
,18,12,36,6,29,55,24,36,34,26,58,25,24
,2,8,31,12,52,53,14,23,72,7,83,71,55
,4,9,37,5,23,21,5,5,61,24,83,46,56
,13,7,47,3,60,126,23,46,2,52,15,60,54
,21,15,44,1,16,147,1,25,32,70,50,6,23
,5,30,35,8,57,110,11,24,75,76,71,30,38
,12,25,34,20,41,108,10,6,70,8,44,17,1
,10,21,16,7,40,111,22,15,9,61,68,84,62
,1,15,7,3,10,140,11,5,18,32,15,49,6
,25,30,9,8,36,11,8,18,8,61,61,75,61
,13,12,45,3,31,75,10,6,49,34,32,73,28
,9,22,11,3,40,89,19,7,41,76,18,61,7
,3,1,15,17,39,127,25,43,58,3,1,68,27
,1,12,31,8,16,101,23,44,20,62,49,8,11
,8,13,32,18,10,128,11,19,58,78,48,27,36
,13,28,4,13,16,36,19,6,8,14,31,9,18
,2,23,1,2,54,23,4,33,33,77,72,79,85
,23,28,29,6,51,67,12,48,35,10,76,69,60
,11,30,10,20,53,27,6,11,65,39,7,38,5
,19,22,2,19,45,51,15,16,9,53,6,6,62
,10,10,37,4,20,36,23,7,47,62,14,56,54
,4,19,10,7,12,62,23,20,19,18,70,84,23
,5,28,39,18,52,8,14,5,20,39,65,76,18
,12,13,20,12,11,150,21,46,1,74,68,62,28
,10,8,43,10,16,42,7,34,49,33,52,17,50
,18,7,43,19,51,131,13,26,72,73,56,59,50
,11,25,6,12,41,1,12,46,50,30,69,62,12
,17,16,12,17,17,144,21,13,54,27,21,26,34
,3,29,6,8,27,88,2,1,40,70,82,9,12
,9,1,47,19,45,45,20,35,7,9,23,39,21
,22,20,48,18,40,59,21,49,48,42,26,15,12
,14,30,44,8,21,145,18,36,29,78,67,17,37
,8,26,46,13,41,72,22,12,34,2,18,73,29
,19,4,43,11,10,99,14,19,33,50,59,54,45
,19,21,5,4,47,4,9,43,66,77,57,15,67
,22,11,43,7,42,126,12,6,73,43,57,35,51
,23,30,46,15,22,116,12,22,36,71,10,63,45
,9,4,30,7,59,15,15,41,8,29,6,20,57
,12,23,39,8,53,48,3,33,27,20,73,3,55
,16,28,29,19,53,117,24,41,20,19,19,38,73
,12,29,36,19,32,113,16,28,9,40,60,36,41
,21,24,46,1,4,19,8,11,3,7,81,83,67
,22,2,27,11,6,138,12,42,68,83,61,73,49
,1,17,14,13,26,34,25,1,52,82,7,22,14
,11,23,5,12,28,67,12,14,57,23,1,34,58
,7,7,26,19,1,137,23,3,42,21,32,40,69
,9,1,29,20,37,107,15,28,61,51,59,10,7
,17,18,34,2,19,33,5,21,20,40,74,76,83
,13,29,26,14,34,102,18,33,5,76,6,12,57
,11,4,49,17,48,79,20,36,72,51,46,41,73
,17,4,4,15,58,86,8,4,51,50,36,85,25
,12,9,15,14,22,19,19,2,59,57,5,63,38
,16,21,7,6,1,146,23,27,24,2,19,7,47
,16,18,7,5,52,68,1,4,40,37,25,35,66
,2,28,40,2,17,140,23,40,21,74,69,10,29
,20,25,2,12,42,126,24,49,63,48,10,14,9
,9,25,43,7,41,86,5,1,16,76,82,77,47
,11,1,23,2,38,90,14,5,48,53,43,69,15
,9,28,6,19,53,108,17,41,41,6,29,63,80
,6,8,46,4,46,14,25,1,19,51,48,1,46
,8,9,4,18,60,73,9,16,48,66,26,43,29
,2,17,34,16,17,61,20,42,60,4,73,26,50
,8,29,49,7,32,35,17,36,35,63,31,7,72
,14,30,4,8,30,20,21,18,8,6,39,82,39
,22,2,31,11,9,101,25,42,28,4,37,39,76
,13,2,17,10,21,121,12,38,30,50,65,52,18
,16,7,30,14,59,45,2,40,23,44,78,65,43
,5,6,20,14,35,129,7,1,7,18,31,21,61
,3,10,10,12,41,24,20,1,44,36,65,7,19
,3,15,36,2,23,11,16,19,61,19,72,85,57
,22,1,37,10,35,107,15,16,23,37,69,17,56
,25,9,7,8,58,85,3,29,21,32,22,22,62
,8,14,43,6,53,55,14,36,24,83,10,81,7
,11,30,23,18,31,146,25,50,66,61,20,74,58
,1,6,34,1,43,114,7,40,46,41,65,33,80
,24,30,11,17,23,14,14,11,74,16,44,7,61
,22,20,27,7,15,14,21,37,15,3,81,2,22
,2,9,2,16,40,85,22,13,17,79,32,73,38
,15,22,15,11,57,93,10,34,33,14,5,2,20
,25,24,14,8,24,101,5,40,59,45,31,69,8
,16,25,49,20,33,108,19,42,18,40,24,42,59
,6,7,9,7,14,31,18,3,6,15,54,29,28
,9,9,19,16,40,82,13,6,23,6,14,74,48
,15,19,7,9,40,94,3,29,55,44,69,28,63
,23,24,39,11,20,101,8,44,29,57,32,18,23
,20,9,4,14,7,14,13,18,38,76,46,26,55
,7,3,33,6,8,117,9,3,2,57,43,28,5
,6,13,6,9,7,16,6,26,2,27,50,1,84
,24,10,7,4,60,135,3,43,23,30,34,10,39
,11,2,38,3,31,84,12,47,48,17,21,73,73
,8,4,13,5,32,48,10,45,26,31,39,79,27
,16,26,39,4,13,144,2,20,46,10,30,4,36
,8,25,23,13,55,80,24,41,42,58,84,27,65
,17,24,15,9,19,108,16,3,67,48,6,28,17
,9,9,5,20,6,23,5,33,67,76,79,35,43
,5,5,39,11,27,87,3,18,41,8,13,30,66
,1,25,13,6,33,24,6,31,38,76,8,68,40
,9,7,37,20,6,20,12,32,48,10,25,9,49
,4,9,4,19,49,124,13,12,6,85,80,66,32
,12,4,7,5,20,12,22,36,63,60,6,65,6
,7,22,23,11,40,76,5,21,11,11,3,19,13
,18,2,7,14,18,76,22,13,53,47,37,3,43
,24,2,14,5,21,51,21,15,68,37,6,9,40
,13,18,35,7,47,144,7,18,43,81,60,39,84
,21,23,27,10,50,18,12,11,38,32,28,54,59
,15,10,48,18,44,27,12,33,60,36,19,78,84
,3,2,39,11,58,55,10,40,16,42,24,67,8
,12,12,16,18,4,64,2,21,60,79,42,69,47
,25,6,39,11,43,44,23,45,21,1,5,56,41
,2,19,43,12,28,138,16,2,40,77,15,9,4
,10,24,46,1,42,64,12,30,68,40,3,36,65
,22,5,14,1,18,116,10,27,39,39,84,14,85
,12,18,18,20,2,4,2,29,22,20,57,11,35
,3,3,39,18,46,138,1,33,5,52,4,80,79
,8,30,48,11,25,72,4,17,42,59,9,11,30
,20,11,14,11,18,33,25,30,62,10,40,74,40
,23,30,21,4,1,73,12,44,60,6,2,51,68
,10,25,50,6,54,24,9,46,7,2,30,25,72
,25,26,8,7,51,125,8,29,69,78,73,47,11
,16,27,11,11,23,108,11,38,8,15,79,9,42
,1,13,31,10,44,148,5,28,55,53,74,10,35
,19,2,45,6,45,141,7,45,18,49,6,36,56
,24,18,18,5,14,86,20,10,71,52,38,21,58
,7,2,3,6,42,74,20,50,67,10,56,32,28
,8,4,3,18,34,81,4,40,32,18,50,55,14
,12,17,43,7,19,57,21,7,42,14,6,38,65
,17,11,38,20,58,96,24,17,56,35,68,79,40
,20,10,8,10,31,63,23,13,62,73,77,84,74
,10,25,10,8,32,90,3,17,74,55,30,37,7
,20,19,37,19,56,132,19,28,31,37,16,46,50
,17,23,6,5,16,82,21,22,46,12,60,19,47
,13,17,42,8,18,78,13,6,23,69,67,65,78
,15,17,50,20,49,57,16,35,70,66,51,32,5
,9,29,42,10,8,2,17,32,11,53,25,36,19
,7,10,9,8,49,98,17,18,55,52,17,5,83
,6,5,16,17,58,70,6,32,65,45,31,20,35
,1,29,21,16,38,133,12,29,55,12,76,46,85
,5,18,47,4,23,61,13,5,15,60,45,66,15
,10,8,19,3,8,90,14,17,52,73,14,35,40
,9,4,42,7,49,20,11,3,63,36,37,23,39
,6,6,35,11,34,31,17,41,25,77,47,5,65
,16,1,34,17,11,133,11,44,49,68,71,37,43
,16,20,42,14,28,30,4,41,20,5,26,29,37
,6,8,42,13,35,147,12,34,73,48,21,40,78
,18,20,4,6,57,34,19,50,38,85,1,79,30
,18,6,49,3,21,72,13,10,51,81,45,52,56
,16,5,46,2,6,114,3,47,63,56,16,14,52
,9,15,21,5,59,24,6,19,8,37,33,52,57
,25,28,33,19,16,2,2,44,2,2,74,55,72
,16,29,2,9,43,110,16,22,49,2,77,26,64
,13,8,14,16,21,146,16,10,28,25,6,23,63
,21,28,2,17,32,36,19,18,59,47,68,22,35
,13,30,17,18,9,32,22,36,31,41,32,20,77
,21,29,18,17,11,147,22,22,60,45,55,44,82
,8,19,14,1,24,149,3,1,11,41,18,19,5
,20,21,28,7,46,82,10,42,4,49,33,25,51
,12,29,26,6,28,74,12,5,17,37,72,38,6
,15,6,20,2,15,116,10,35,65,52,18,27,48
,24,16,48,2,44,11,17,11,26,69,74,2,53
,14,9,16,7,59,91,2,37,5,83,19,78,80
,17,8,4,9,13,127,5,19,20,9,30,14,22
,13,12,5,1,45,63,6,38,33,72,12,7,46
,24,6,9,19,43,130,21,37,56,83,51,18,49
,13,15,22,7,23,131,18,17,47,6,74,61,25
,18,16,13,2,6,25,24,20,11,64,22,10,54
,9,7,15,9,39,80,20,28,27,79,2,40,35
,21,25,30,16,50,144,24,49,50,56,80,52,9
,18,20,8,9,48,110,22,42,53,64,82,27,4
,18,10,22,16,41,54,21,4,16,78,38,66,85
,17,7,33,10,32,57,4,35,7,24,53,80,60
,25,19,17,3,25,75,10,45,55,32,79,47,5
,4,5,12,18,25,131,22,47,52,70,77,7,8
,9,27,10,7,5,88,13,8,41,14,60,8,63
,16,16,13,17,52,148,14,9,62,16,2,12,38
,12,22,12,18,37,49,13,25,16,1,85,60,13
,4,17,37,7,32,53,11,11,56,30,60,36,50
,3,9,50,7,8,50,23,50,50,26,21,58,76
,19,1,2,12,42,35,21,3,17,57,64,28,2
,17,17,33,2,34,90,20,35,23,42,8,83,64
,11,13,8,7,26,75,12,23,23,21,46,37,32
,13,10,14,12,50,58,6,33,73,74,47,44,83
,7,25,25,2,44,45,5,20,52,21,62,79,83
,7,21,23,1,39,120,5,18,23,66,52,38,35
,22,22,36,7,22,121,14,28,10,55,9,66,10
,12,22,21,10,3,115,21,14,37,54,39,30,48
,20,4,32,2,3,134,3,24,58,51,59,51,2
,16,15,32,3,3,121,1,2,59,71,38,34,24
,4,19,14,8,17,71,10,45,68,35,78,54,40
,23,21,38,6,42,86,2,50,29,68,18,25,14
,8,6,49,16,19,40,18,20,16,20,55,18,81
,21,23,29,1,36,44,8,23,22,61,4,67,20
,18,20,4,3,21,102,16,20,1,65,25,15,72
,2,2,6,11,60,21,1,41,13,7,20,70,4
,11,23,39,19,16,114,23,5,49,18,47,50,22
,16,16,4,20,24,86,1,3,55,34,64,31,42
,4,13,8,19,60,52,13,26,15,14,43,47,14
,21,28,8,1,31,4,7,41,15,83,6,67,76
,4,27,9,10,14,129,13,16,62,8,59,40,64
,24,14,27,2,47,85,22,22,45,30,28,39,70
,9,15,13,11,56,67,23,46,65,70,46,52,10
,20,18,48,14,60,69,20,16,7,69,79,33,5
,11,6,25,17,16,3,6,49,59,24,51,65,11
,1,15,31,1,57,132,14,30,19,84,58,21,3
,8,24,50,5,20,77,16,17,23,57,26,82,78
,15,26,42,3,23,73,21,23,12,3,52,4,6
,25,15,21,6,24,33,6,21,56,23,77,34,45
,6,22,40,6,40,87,19,21,21,68,32,70,46
,24,9,43,18,54,100,10,4,26,9,64,54,75
,17,5,28,9,43,24,17,10,57,1,45,12,22
,24,14,42,11,19,37,16,24,22,14,33,64,41
,6,6,21,18,42,100,16,33,60,61,79,73,62
,3,16,48,14,51,19,2,21,74,83,17,75,4
,13,2,37,19,48,16,5,14,30,15,57,45,45
,19,21,39,6,7,17,6,30,1,5,51,35,6
,8,3,6,9,51,95,2,48,25,60,30,65,66
,6,2,32,17,43,109,9,47,65,58,32,75,80
,19,18,47,14,53,58,21,16,67,10,18,66,28
,10,2,46,12,23,46,14,41,43,16,14,63,84
,7,11,15,7,13,28,3,42,46,41,34,60,82
,19,25,44,6,25,120,21,47,20,41,43,43,80
,12,15,13,8,10,129,3,17,9,7,31,53,74
,25,29,25,13,54,50,21,35,6,78,56,14,61
,23,12,17,20,11,32,7,24,16,59,17,28,71
,15,1,15,19,50,107,5,28,67,77,26,37,79
,23,20,18,20,4,104,5,12,48,85,54,52,8
,25,15,18,7,44,114,2,36,61,60,32,19,19
,25,9,28,20,9,51,24,4,3,22,42,12,69
,18,7,36,8,3,78,20,34,62,34,84,82,28
,10,2,34,18,26,29,15,32,32,85,18,29,65
,14,21,9,8,52,32,14,15,56,42,60,38,23
,12,26,34,9,59,54,17,36,27,33,3,55,79
,20,12,24,16,21,74,10,12,4,56,80,78,80
,23,22,8,18,4,102,24,22,6,53,5,57,9
,20,30,14,7,37,16,17,37,35,10,31,63,74
,9,21,37,4,2,69,25,25,29,22,59,47,73
,18,29,37,18,38,146,16,29,19,64,80,19,37
,17,8,26,4,32,94,5,45,19,39,20,83,31
,23,11,29,5,15,38,18,27,2,55,67,42,83
,7,30,48,17,2,101,8,22,42,7,52,79,68
,13,13,16,7,47,47,13,29,8,69,29,77,24
,5,5,10,14,17,66,24,20,55,20,75,40,8
,12,5,31,13,37,80,22,18,53,29,69,46,62
,8,19,9,20,53,103,21,25,18,68,16,33,46
,6,26,27,18,49,73,23,23,16,44,73,85,24
,8,14,15,15,12,70,20,29,38,14,34,30,44
,8,17,32,11,3,96,15,35,23,65,5,12,2
,25,15,32,1,21,10,11,8,49,85,80,77,66
,7,7,13,17,32,60,22,2,67,27,83,3,30
,6,16,44,3,50,95,17,47,9,70,43,51,39
,3,27,5,20,45,131,18,43,9,7,7,23,65
,25,25,48,3,16,50,14,9,13,85,10,70,57
,13,4,48,10,34,129,10,29,4,52,10,26,47
,25,16,25,13,2,109,20,5,34,45,38,67,81
,10,9,22,1,24,109,14,33,30,82,63,10,54
,3,20,46,9,54,49,22,34,59,59,78,15,9
,18,7,44,2,51,58,22,43,68,30,77,25,8
,12,30,46,5,58,115,16,43,16,26,4,63,80
,1,30,23,16,52,26,5,46,10,33,83,8,46
,2,9,4,16,37,60,20,26,64,62,45,15,82
,17,5,22,17,12,49,1,18,27,85,47,77,37
,11,19,15,1,3,65,9,14,73,81,38,17,66
,10,28,47,4,44,104,7,25,6,20,69,19,68
,11,18,31,3,13,45,23,42,26,1,29,41,47
,4,2,3,19,59,149,8,32,7,49,24,81,30
,17,4,3,1,7,142,15,25,51,12,83,40,58
,10,17,25,4,34,148,1,19,36,72,20,52,58
,1,30,16,5,19,109,20,46,5,4,61,4,77
,19,24,1,6,35,57,7,32,73,23,62,57,7
,7,6,37,4,6,69,15,35,1,3,40,64,68
,7,2,7,10,33,134,7,38,67,25,23,33,72
,17,12,18,1,27,29,9,16,26,45,33,58,59
,14,15,11,17,43,93,12,34,48,58,22,11,52
,2,10,13,19,31,83,20,38,1,29,35,45,56
,17,1,34,18,13,65,4,35,43,5,31,68,72
,18,5,8,12,32,23,1,22,23,68,8,73,78
,21,17,1,1,60,75,17,50,19,14,1,40,8
,14,19,40,13,35,29,19,16,32,18,37,79,76
,6,28,21,11,16,60,5,49,25,20,4,36,9
,4,20,38,1,43,70,15,25,14,83,12,49,13
,2,5,47,4,44,83,21,18,17,45,77,48,48
,18,1,6,18,2,139,18,49,14,36,31,64,64
,25,30,15,10,11,132,9,11,2,69,32,59,83
,7,6,16,19,49,121,9,28,11,29,81,68,70
,18,27,12,16,50,136,19,44,14,53,36,18,11
,4,25,15,1,28,75,4,5,7,29,81,82,79
,22,13,6,4,46,60,19,26,5,56,31,28,76
,20,18,21,2,10,72,20,13,17,60,1,29,42
,19,26,47,12,48,102,8,35,54,33,55,27,21
,24,30,26,14,10,22,18,34,21,71,47,67,28
,9,3,1,12,11,59,2,38,10,36,64,40,19
,20,13,32,15,50,20,4,40,61,14,43,40,58
,3,1,9,4,18,59,15,31,16,48,6,84,4
,18,23,30,4,23,111,11,1,34,16,14,6,7
,19,8,24,1,1,138,10,8,30,42,64,14,54
,15,30,1,2,56,18,1,10,46,14,44,35,58
,4,30,41,4,24,16,10,25,48,60,57,24,83
,14,26,46,5,30,144,4,9,56,41,69,49,72
,7,2,41,5,35,53,11,50,26,68,2,8,31
,20,17,4,17,4,56,7,33,67,67,47,77,24
,13,13,17,8,54,29,1,5,24,72,30,14,52
,20,20,43,12,48,130,19,39,74,59,51,29,73
,21,27,32,8,4,112,13,42,48,71,23,67,56
,12,9,17,15,29,6,19,38,2,27,76,46,10
,22,4,2,15,33,118,8,48,13,50,14,79,85
,7,25,4,3,14,112,25,29,39,41,48,38,78
,4,27,9,16,3,71,11,20,18,40,54,80,3
,5,1,35,12,13,46,16,48,18,66,55,48,62
,11,4,14,12,56,148,25,4,36,49,44,50,79
,6,9,48,3,26,143,12,1,49,17,62,64,73
,20,13,27,3,55,124,21,1,62,37,9,74,25
,14,28,27,19,42,49,21,1,45,49,22,29,48
,7,19,28,13,9,98,23,28,44,32,10,9,70
,20,14,2,7,30,104,10,42,30,37,3,74,16
,13,11,11,4,50,77,23,40,72,40,41,80,19
,12,1,38,9,14,141,3,30,13,56,48,15,62
,19,29,22,14,27,45,25,16,21,58,37,47,27
,2,13,8,9,52,13,7,39,13,76,6,57,83
,23,12,45,10,53,1,20,20,16,79,17,75,44
,18,10,1,5,1,53,9,30,15,62,4,4,68
,1,27,37,18,30,100,3,44,20,36,81,43,82
,8,11,5,3,22,110,25,25,43,33,45,43,73
,7,6,37,5,39,22,3,11,54,30,15,77,75
,5,19,15,11,23,1,20,22,47,39,70,75,45
,14,20,24,16,25,95,2,38,29,16,30,84,23
,11,23,37,14,3,38,5,35,5,37,57,44,13
,18,13,49,9,24,47,19,8,6,38,4,47,45
,18,27,50,12,29,147,8,39,68,75,79,49,83
,12,20,35,6,10,22,12,50,33,16,77,50,3
,2,6,8,9,50,143,11,6,36,53,64,83,15
,22,19,6,2,40,126,13,29,69,25,58,75,44
,23,20,20,12,16,128,11,45,37,37,74,2,51
,20,6,32,3,41,125,24,34,5,60,9,80,68
,19,11,43,15,18,85,17,30,66,14,85,39,31
,5,6,21,10,43,95,23,6,19,16,62,31,72
,9,18,31,10,7,34,25,35,33,10,71,32,39
,2,10,15,18,52,117,20,34,55,68,39,27,9
,24,25,34,14,7,34,21,29,45,38,49,52,68
,14,21,18,9,5,119,21,28,67,62,22,43,28
,14,30,9,16,22,3,9,16,8,63,5,36,8
,7,2,1,13,51,23,4,34,56,68,23,42,59
,10,11,30,14,53,39,9,37,13,49,1,17,9
,20,15,13,8,34,137,23,4,40,72,51,26,29
,25,18,3,11,13,61,20,34,21,45,68,84,36
,1,7,26,5,52,13,5,41,16,56,40,68,85
,7,21,23,7,24,53,16,32,7,68,75,20,65
,11,16,46,2,27,138,23,2,26,50,62,1,6
,11,26,34,12,39,83,4,48,73,35,4,13,71
,4,5,35,11,46,34,22,40,36,21,47,47,12
,13,29,16,11,20,103,2,45,45,60,60,35,38
,15,17,48,15,41,84,16,46,50,68,57,6,45
,20,22,24,4,31,61,18,45,57,13,83,44,60
,16,30,18,10,42,107,8,48,33,57,69,79,8
,4,22,11,5,1,25,12,7,46,1,30,83,54
,17,11,45,4,45,17,21,4,43,7,50,58,82
,14,2,49,17,35,3,19,39,30,65,26,62,69
,22,1,49,8,7,53,21,45,70,84,7,5,43
,5,23,50,1,58,80,5,46,40,63,83,20,62
,9,20,48,15,11,44,12,18,3,51,67,59,70
,10,15,34,15,55,32,24,24,41,23,19,76,46
,10,26,1,16,12,26,2,3,53,22,12,60,15
,9,9,28,20,41,52,20,20,13,57,84,76,72
,4,24,31,20,30,62,3,23,38,26,32,60,47
,5,3,34,10,5,139,22,15,11,72,47,13,70
,19,26,49,9,15,67,5,9,34,11,45,69,51
,3,14,9,4,7,149,25,18,1,22,48,68,14
,3,6,23,1,29,75,22,49,35,11,72,61,61
,12,20,38,1,50,25,22,40,56,13,39,31,85
,25,1,19,6,13,83,24,29,35,37,33,34,22
,1,22,26,18,30,50,10,49,38,69,55,70,45
,5,22,39,6,43,11,9,29,12,18,33,19,10
,15,10,29,7,17,44,25,21,58,84,78,64,64
,23,10,24,15,22,66,5,37,70,54,65,37,82
,19,28,37,11,20,61,25,44,2,69,44,6,3
,4,8,48,13,39,9,5,26,50,74,65,33,28
,10,27,25,20,60,20,7,46,68,75,11,44,46
,7,26,38,6,14,107,25,43,24,51,48,54,50
,19,25,2,13,53,108,6,1,69,54,55,28,45
,15,21,43,10,56,23,16,26,30,37,20,36,70
,11,29,27,2,60,147,9,32,62,79,32,35,15
,22,11,47,18,5,132,25,34,60,28,41,70,22
,18,10,27,14,12,92,11,23,61,38,29,84,66
,14,14,17,6,52,1,18,43,16,29,67,37,62
,3,5,30,19,38,61,21,45,70,18,33,68,1
,8,24,34,18,1,144,5,48,22,15,14,38,29
,18,3,16,14,13,35,9,4,21,62,75,70,70
,11,20,12,6,15,107,19,16,68,49,33,71,24
,17,22,43,16,13,130,21,33,33,62,38,34,75
,1,11,37,16,6,97,11,37,35,79,2,36,64
,21,20,16,6,44,133,15,11,43,11,73,83,56
,1,20,2,4,8,86,14,46,8,33,76,46,66
,16,17,9,12,49,112,24,40,59,11,7,43,11
,5,22,41,15,56,30,1,36,28,17,58,57,2
,17,23,43,5,34,137,24,37,5,61,69,78,52
,6,14,20,2,4,98,22,39,1,72,23,3,11
,3,27,5,17,6,105,7,49,10,57,71,12,9
,25,27,33,11,32,17,20,12,22,54,30,41,69
,6,19,9,15,40,136,23,30,34,20,42,19,84
,15,5,38,8,53,76,15,34,72,85,30,63,44
,4,12,25,17,60,115,1,7,71,5,79,8,65
,16,30,9,1,52,57,7,30,35,11,34,3,65
,22,27,10,15,58,78,25,24,10,5,56,73,42
,14,11,14,8,17,58,15,32,36,75,22,11,18
,23,22,27,8,41,125,4,24,4,31,14,2,29
,5,20,34,19,56,17,4,16,48,66,39,70,8
,15,11,22,13,18,81,2,46,22,53,31,18,25
,23,22,18,9,3,140,15,32,57,44,32,1,72
,17,28,24,14,17,65,22,40,51,55,60,52,17
,2,19,30,9,30,7,19,9,32,18,13,35,75
,1,26,24,13,10,106,16,15,22,53,21,60,49
,14,30,24,18,36,25,2,6,18,60,55,68,52
,23,14,48,1,13,132,14,26,2,12,12,85,50
,13,8,31,9,8,9,24,44,17,84,46,4,49
,19,27,23,10,25,35,23,47,4,39,31,71,60
,5,5,18,3,59,106,23,43,71,78,65,83,79
,10,13,35,2,17,2,13,10,59,63,11,3,27
,19,16,33,9,46,3,13,37,74,27,22,66,45
,7,23,14,2,38,15,2,40,4,33,30,47,60
,18,27,10,18,51,88,24,26,1,17,78,75,82
,9,23,11,12,4,95,16,36,16,61,66,49,28
,19,5,6,3,48,127,8,40,70,46,74,48,58
,12,19,22,1,25,111,8,41,13,18,59,80,59
,5,27,14,1,34,92,23,48,5,48,77,52,69
,22,26,38,11,51,86,10,46,11,61,33,17,2
,14,5,47,2,27,81,25,18,44,47,70,65,58
,7,30,17,3,11,76,4,18,23,38,41,74,74
,4,10,25,2,1,32,21,11,55,44,59,75,42
,16,16,45,20,27,28,1,6,55,68,19,64,32
,14,26,19,18,20,13,3,45,46,81,39,40,27
,14,7,16,12,6,61,25,7,37,43,72,79,81
,24,6,21,15,59,78,10,7,54,3,39,82,46
,3,12,50,5,19,7,16,5,28,11,69,11,59
,1,22,27,20,50,54,14,3,6,3,83,26,2
,4,12,47,20,15,78,16,15,71,61,16,21,29
,1,4,35,6,45,46,3,11,31,45,80,55,46
,2,16,17,20,44,54,13,22,65,38,41,6,85
,8,16,36,18,52,103,17,50,33,53,56,82,26
,17,2,10,7,17,117,22,40,73,62,24,74,41
,11,8,14,8,38,145,25,11,67,38,64,16,11
,4,14,6,14,56,120,19,14,70,3,40,61,57
,13,18,44,15,45,58,13,42,38,77,1,12,68
,18,18,10,5,8,129,17,13,6,70,8,18,74
,2,25,20,15,53,76,7,44,13,52,78,29,40
,13,12,2,1,12,27,8,45,50,60,81,57,19
,23,25,4,18,20,61,16,17,50,12,73,42,44
,5,2,1,14,18,41,18,15,9,27,54,35,79
,8,11,26,14,56,9,25,45,5,80,48,12,72
,8,22,19,6,50,27,20,35,24,19,24,35,11
,25,1,44,16,26,133,23,33,48,82,61,33,66
,6,5,40,9,43,105,7,41,74,34,75,31,69
,2,4,3,8,52,143,18,6,70,7,81,70,49
,2,1,29,11,55,65,20,23,44,39,46,58,1
,25,1,39,19,51,110,6,32,13,15,7,9,33
,18,9,3,2,36,15,21,8,7,60,69,9,52
,13,21,2,15,36,120,25,3,37,1,24,55,20
,2,25,4,20,28,119,4,49,61,58,53,22,80
,10,10,19,12,25,90,11,47,8,11,41,40,47
,17,23,19,20,50,77,24,43,69,68,73,79,79
,19,8,33,3,40,92,13,35,45,66,18,48,81
,16,24,41,19,13,150,3,24,74,27,7,11,56
,12,27,35,19,41,81,1,39,39,42,25,57,55
,10,6,13,16,19,101,14,48,66,40,19,10,75
,2,1,3,18,2,136,24,22,42,42,81,58,80
,5,22,12,15,31,121,14,6,72,40,10,67,49
,12,21,27,2,58,32,15,39,69,17,66,48,36
,1,16,50,19,32,67,18,2,11,78,76,52,24
,19,27,17,6,18,22,10,22,41,11,81,2,50
,21,7,42,4,8,91,22,21,65,26,65,23,57
,9,8,21,8,27,110,1,11,53,40,42,67,27
,23,13,11,3,27,77,14,44,43,38,23,57,54
,13,10,25,15,44,143,18,28,30,8,47,30,37
,15,19,33,17,25,98,15,9,55,5,40,76,30
,10,9,30,9,14,25,1,9,44,19,25,19,52
,20,19,45,2,25,101,10,19,1,57,2,46,58
,10,3,47,7,43,9,18,8,36,11,38,65,63
,25,26,47,12,57,64,16,46,6,12,59,21,85
,2,5,12,3,48,102,10,15,39,9,36,81,84
,21,25,35,8,16,73,14,17,24,81,40,32,51
,25,30,11,7,49,89,2,18,47,85,7,21,36
,10,27,5,20,8,84,4,7,4,24,51,63,9
,5,22,18,17,56,1,22,5,26,50,64,85,68
,5,23,4,9,49,46,17,4,24,3,26,19,8
,9,3,45,20,54,13,7,50,31,13,63,1,69
,13,27,31,4,34,27,19,3,26,77,9,26,2
,17,20,21,14,35,17,23,48,9,75,60,65,16
,25,23,21,6,52,119,17,48,32,8,5,70,75
,15,8,42,16,29,131,6,8,71,78,9,77,39
,24,7,18,2,28,121,25,39,6,76,47,76,60
,3,17,35,14,19,65,25,1,27,2,21,73,78
,12,15,7,3,18,68,3,18,10,56,57,28,32
,14,21,24,9,41,37,10,47,15,33,42,6,39
,2,16,13,10,46,59,18,46,25,5,6,7,55
,25,7,43,17,20,139,2,25,56,62,17,36,17
,8,16,28,13,31,129,12,13,34,74,36,58,50
,12,2,35,7,37,147,18,27,72,16,31,21,69
,19,4,50,18,4,131,25,9,73,6,72,16,37
,11,13,1,3,29,145,18,39,26,27,64,85,56
,11,1,8,8,57,137,23,33,25,28,22,40,70
,25,16,1,19,16,146,10,22,38,17,79,84,27
,23,8,22,1,7,85,5,48,51,56,64,69,37
,22,12,18,20,16,136,14,34,43,69,81,61,38
,24,24,37,14,8,19,3,31,58,19,71,17,12
,22,11,40,19,19,70,23,15,31,3,79,5,54
,23,23,37,20,16,36,18,22,50,49,4,51,63
,16,18,8,8,29,77,25,16,58,42,21,60,38
,10,24,43,12,40,57,14,23,71,61,16,16,47
,5,13,35,10,38,102,12,37,35,7,65,52,17
,19,6,30,10,2,66,19,40,11,23,18,79,7
,9,23,49,2,58,70,18,13,69,15,61,58,70
